17,0,43,0,1021,15,10,242,12,319
21,3,60,0,1019,14,10,141,14,352
21,26,55,0,1017,16,10,295,14,338
17,24,68,0.1,1022,10,10,169,14,355
9,12,66,0,1024,10,10,117,6,343
27,4,73,0,1024,11,10,120,19,287
23,68,88,0.2,1019,12,9,200,15,177
33,83,82,0,1024,9,10,294,23,300
20,12,63,0,1033,5,10,158,16,253
15,18,63,0,1033,7,10,93,11,223
23,100,81,1.7,1031,7,6,81,15,300
21,64,78,3,1031,9,9,96,14,305
22,78,69,0,1032,6,10,26,16,325
18,19,67,0.1,1032,7,10,13,14,247
14,2,64,0,1034,7,10,161,11,153
13,16,73,0,1029,10,10,123,9,213
9,30,71,0,1027,11,10,208,6,328
20,3,69,0,1034,8,10,338,15,338
15,1,69,0,1030,9,10,148,11,367
28,17,46,0,1028,11,10,271,19,345
19,0,42,0,1032,6,10,257,16,382
8,0,42,0,1031,5,10,249,7,302
24,0,63,0,1024,10,10,155,18,309
35,24,66,0,1018,15,10,173,20,280
33,26,66,0.1,1020,16,10,207,22,217
24,59,61,0,1029,9,10,36,18,326
20,17,68,0,1024,12,10,145,14,197
19,20,72,0,1024,14,10,84,13,162
18,70,88,1.1,1020,12,10,180,13,305
13,16,81,0,1019,17,8,243,9,316
35,19,82,0,1019,17,10,143,21,385
30,18,73,0,1013,24,10,238,17,362
13,15,78,0,1012,17,10,147,9,315
32,83,78,0.1,1018,10,10,29,23,389
26,31,55,0,1027,6,10,36,20,303
30,94,80,1.2,1023,6,9,88,20,150
28,100,94,5.7,1018,9,7,54,19,125
33,100,89,0.9,1018,7,8,145,23,138
26,65,76,0,1022,6,10,336,19,150
35,89,75,0.5,1026,3,8,219,25,301
34,55,66,0.2,1029,3,9,337,25,305
28,58,66,0,1027,5,10,333,21,217
30,95,79,0.9,1027,6,7,147,21,270
28,83,74,0.4,1029,7,9,139,20,207
23,45,67,0,1028,8,10,218,17,180
14,23,65,0,1027,9,10,64,10,273
24,76,88,2.3,1023,8,10,107,16,180
30,90,93,0,1021,9,10,231,20,153
32,100,97,3.1,1024,4,9,182,20,217
27,76,83,0.7,1027,6,8,315,19,188
17,15,72,0,1031,9,10,226,13,311
15,11,67,0,1031,9,10,104,11,349
22,44,75,0,1029,10,10,109,15,330
18,13,77,0,1029,12,10,91,13,316
23,87,85,2.5,1026,11,9,108,15,333
32,100,97,4.5,1021,10,10,80,20,328
20,91,94,0.2,1022,11,6,342,14,162
10,62,86,0.2,1024,14,7,180,7,290
20,85,91,0,1021,9,10,72,14,335
24,88,88,5.6,1021,8,9,147,17,330
22,45,71,0,1024,11,10,151,16,193
26,36,69,0.3,1024,12,9,71,18,311
16,84,91,1.2,1022,11,9,141,11,233
24,18,71,0,1027,10,10,116,17,167
19,58,67,0.2,1029,7,10,61,14,257
21,32,63,0,1030,10,10,74,15,143
15,82,79,1.8,1026,7,9,120,10,163
10,4,73,0,1027,13,10,251,7,283
15,28,78,0,1028,13,10,141,10,327
35,10,78,0,1023,14,10,147,24,353
28,89,94,7.2,1015,15,10,256,18,306
27,24,64,0,1023,11,10,328,20,207
21,9,56,0,1025,14,10,241,14,250
23,10,60,0,1022,18,10,184,15,328
25,7,73,0,1020,19,10,167,15,328
19,41,77,0.7,1016,24,10,190,12,321
13,0,75,0,1016,24,10,108,10,327
24,81,87,0.9,1016,13,10,140,17,348
28,46,62,0.1,1024,13,10,300,20,328
17,3,53,0,1027,14,10,174,13,318
23,5,60,0,1025,15,10,158,16,187
32,22,77,0,1026,15,10,141,21,290
28,53,84,0,1022,13,10,176,19,210
19,49,66,0,1025,14,10,180,13,237
19,52,67,0.5,1024,15,10,162,13,315
28,31,83,0.6,1018,17,10,132,19,333
32,74,90,1.5,1011,18,8,149,20,277
18,72,93,2.6,1008,20,6,206,12,267
19,20,76,0,1016,20,10,187,13,338
17,41,70,0,1016,15,10,97,12,318
11,50,77,0,1016,17,10,90,8,305
15,55,81,0.2,1016,18,10,86,11,304
17,44,77,0.6,1017,19,9,40,12,308
14,2,54,0,1019,19,10,222,10,293
21,10,58,0,1020,20,10,141,15,308
19,42,56,0,1025,15,10,97,14,133
24,49,77,0.9,1019,17,10,155,17,237
11,57,86,0.1,1017,20,8,92,7,319
